"Name","Component","Side","Centre X","Centre Y","Rotation"
"C05","C0201_1n_25V","Top","246.0","121.0","0.00"
"C03","C0201_1u_6.3V","Top","244.0","65.0","90.00"
"C013","C0201_1u_6.3V","Top","132.0","300.0","0.00"
"C06","C0402_10u_6.3V","Top","60.0","246.5","90.00"
"C010","C0402_10u_6.3V","Top","300.5","96.0","0.00"
"C01","C0603_22u_6.3V","Top","331.0","237.5","270.00"
"C04","C01005_0.1u_6.3V","Top","185.0","174.0","180.00"
"C08","C01005_0.1u_6.3V","Top","75.0","325.0","90.00"
"C011","C01005_0.1u_6.3V","Top","312.0","178.0","180.00"
"C02","C01005_10n_6.3V","Top","217.0","390.0","270.00"
"C07","C01005_10n_6.3V","Top","74.0","290.0","90.00"
"C012","C01005_10n_6.3V","Top","362.0","190.0","270.00"
"REG01","CAT6219_3V3","Top","327.0","340.0","180.00"
"FERR01","FERR","Top","360.5","110.0","0.00"
"FERR02","FERR","Top","117.0","372.5","90.00"
"U1","MT9V022_52BGA","Bottom","231.0","228.8","0.00"
"CONN","OMNETICS_PNZ_12_AA_SMT","Top","-11.6","124.2","0.00"
"R00","R0201_0_1/20","Top","230.0","218.0","90.00"
"R02","R01005_1k_1/32W","Top","183.0","303.0","0.00"
"R03","R01005_1k_1/32W","Top","235.0","182.0","90.00"
"R04","R01005_1.5k_1/32W","Top","137.0","238.0","0.00"
"R05","R01005_1.5k_1/32W","Top","207.0","126.0","0.00"
"IN4","ROUND_PAD_18","Top","255.0","25.0","0.00"
"IN5","ROUND_PAD_18","Top","205.0","425.0","0.00"
"IN6","ROUND_PAD_18","Top","210.0","25.0","0.00"
"IN7","ROUND_PAD_18","Top","300.0","25.0","0.00"
"IN8","ROUND_PAD_18","Top","345.0","25.0","0.00"
"IN9","ROUND_PAD_18","Top","425.0","115.0","0.00"
"IN10","ROUND_PAD_18","Top","425.0","160.0","0.00"
"IN11","ROUND_PAD_18","Top","425.0","25.0","0.00"
"IN12","ROUND_PAD_18","Top","160.0","425.0","0.00"
"IN13","ROUND_PAD_18","Top","425.0","70.0","0.00"
"IN14","ROUND_PAD_18","Top","425.0","205.0","0.00"
"IN15","ROUND_PAD_18","Top","70.0","425.0","0.00"
"IN16","ROUND_PAD_18","Top","25.0","425.0","0.00"
"IN17","ROUND_PAD_18","Top","115.0","425.0","0.00"
"IN18","ROUND_PAD_18","Top","25.0","380.0","0.00"
"IN19","ROUND_PAD_18","Top","250.0","425.0","0.00"
"IN20","ROUND_PAD_18","Top","340.0","425.0","0.00"
"IN21","ROUND_PAD_18","Top","295.0","425.0","0.00"
"IN32","ROUND_PAD_18","Top","75.0","25.0","0.00"
"IN33","ROUND_PAD_18","Top","165.0","25.0","0.00"
"IN34","ROUND_PAD_18","Top","120.0","25.0","0.00"
"IN35","ROUND_PAD_18","Top","425.0","250.0","0.00"
"JP1","ROUND_PAD_18","Top","25.0","335.0","0.00"
"JP2","ROUND_PAD_18","Top","25.0","290.0","0.00"
"JP3","ROUND_PAD_18","Top","425.0","295.0","0.00"
"JP4","ROUND_PAD_18","Top","387.0","25.0","0.00"
"JP5","ROUND_PAD_18","Top","426.0","425.0","0.00"
