"Report File:","C:\neuralmapper\PCB\NM-WX400\Rev2\NM-WX400 (BOM).csv"
"Report Written:","Thursday, July 21, 2016"
"Project Path:","C:\neuralmapper\PCB\NM-WX400\Rev2\NM-WX400.prj"
"Design Path:","C:\neuralmapper\PCB\NM-WX400\Rev2\NM-WX400.pcb"
"Design Title:",""
"Created:","8/22/2014 4:40:03 PM"
"Last Saved:","7/20/2016 3:59:26 PM"
"Editing Time:","48772 min"
"Units:","mil (precision 0)"


"Ref Name","Qty","Component","Value","Side","Manufacturer","Manufacturer part number","Distributor","Distributor part number","Description","Price"
"U4","1","2N7002BKMB","","Top","NXP","2N7002BKMB,315","Digikey","568-10438-1-ND","MOSFET N-CH 60V 450MA 3DFN","0.39"
"OSC1","1","20.000_MHZ_OSC","","Bottom","Abracon","ASCO-20.000MHZ-EK-T3","Digikey","535-12071-1-ND","OSC XO 20.000MHZ CMOS SMD","1.77"
"U2","1","AGL400V5_CSG196","","Top","Microsemi","AGL400V5-CSG196","Digikey","1100-1109-ND","IC FPGA 143 I/O 196CSP","44.22"
"U3","1","AL5801","","Top","Diodes","AL5801W6-7","Digikey","AL5801W6-7DICT-ND","IC LED Driver Linear PWM Dimming 350mA Signage SOT-26","0.50"
"C74","1","C0201_1u_6.3V","1u","Bottom","Samsung","CL03A105KQ3CSNC","Digikey","1276-1323-1-ND","CAP CER 1UF 6.3V X5R 0201","0.36"
"C4","1","C0402_2.2u_4V","2.2u","Bottom","Murata","GRM155R60G225ME15D","Digikey","490-4518-1-ND","CAP CER 2.2UF 4V 20% X5R 0402","0.27"
"C22","1","C0402_2.2u_6.3V","2.2u","Bottom","Samsung","CL05A225MQ5NNNC","Digikey","1276-1469-1-ND","CAP CER 2.2UF 6.3V X5R 0402","0.12"
"C5","1","C0402_2.2u_10V_TANT","2.2u","Bottom","Vishay Sprague","298D225X0010K2T","Digikey","718-1617-1-ND","CAP TANT 2.2UF 10V 20% 0402","2.14"
"C58","1","C0402_2.2u_10V_TANT","2.2u","Bottom","Vishay Sprague","298D225X0010K2T","Digikey","718-1617-1-ND","CAP TANT 2.2UF 10V 20% 0402","2.14"
"C9","1","C0402_4u7_6.3V","4u7","Bottom","Samsung","CL05A475MQ5NRNC","Digikey","1276-1056-1-ND","CAP CER 4.7UF 6.3V 20% X5R 0402","0.23"
"C29","1","C0402_10u_6.3V","10u","Bottom","Samsung","CL05A106MQ5NUNC","Digikey","1276-1451-1-ND","CAP CER 10UF 6.3V X5R 0402","0.60"
"C21","1","C0402_10u_6.3V_TANT","10u","Bottom","AVX","TLCK106M006QTA","Digikey","478-5343-1-ND","CAP TANT 10UF 6.3V 20% 0402","4.79"
"C10","1","C0402_10u_6.3V_TANT","10u","Bottom","AVX","TLCK106M006QTA","Digikey","478-5343-1-ND","CAP TANT 10UF 6.3V 20% 0402","4.79"
"C57","1","C0402_10u_6.3V_TANT","10u","Bottom","AVX","TLCK106M006QTA","Digikey","478-5343-1-ND","CAP TANT 10UF 6.3V 20% 0402","4.79"
"C3","1","C0603_4u7_TANT","4u7TANT","Bottom","Vishay Sprague","298D475X9010M2T","Digikey","718-1163-1-ND","CAP TANT 4.7UF 10V 10% 0603","1.25"
"C28","1","C0603_47u_TANT","47uTANT","Bottom","AVX","F980J476MMA","Digikey","478-8644-1-ND","CAP TANT 47UF 6.3V 20% 0603","0.87"
"C24","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C36","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C40","1","C01005_0.1u_6.3V","0.1u","Top","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C43","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C47","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C49","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C54","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C55","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C59","1","C01005_0.1u_6.3V","0.1u","Bottom","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C25","1","C01005_1n_10V","1n","Bottom","TDK","C0402X5R1A102K020BC","Digikey","445-5505-1-ND","CAP CER 1000PF 10V X5R 01005","0.24"
"C56","1","C01005_1n_10V","1n","Bottom","TDK","C0402X5R1A102K020BC","Digikey","445-5505-1-ND","CAP CER 1000PF 10V X5R 01005","0.24"
"C23","1","C01005_2.2n_6.3V","2.2n","Bottom","Murata","GRM022R60J222KE19L","Digikey","490-7164-1-ND","CAP CER 2200PF 6.3V X5R 01005","0.19"
"C26","1","C01005_6.8p_16V","6.8p","Bottom","TDK","C0402C0G1C6R8D020BC","Digikey","445-5461-1-ND","CAP CER 6.8PF 16V C0G 01005","0.24"
"C37","1","C01005_10n_6.3V","10n","Bottom","TDK","C0402X5R0J103K020BC","Digikey","445-5515-1-ND","CAP CER 10000PF 6.3V X5R 01005","0.24"
"C41","1","C01005_10n_6.3V","10n","Top","TDK","C0402X5R0J103K020BC","Digikey","445-5515-1-ND","CAP CER 10000PF 6.3V X5R 01005","0.24"
"C42","1","C01005_10n_6.3V","10n","Bottom","TDK","C0402X5R0J103K020BC","Digikey","445-5515-1-ND","CAP CER 10000PF 6.3V X5R 01005","0.24"
"C46","1","C01005_10n_6.3V","10n","Bottom","TDK","C0402X5R0J103K020BC","Digikey","445-5515-1-ND","CAP CER 10000PF 6.3V X5R 01005","0.24"
"C48","1","C01005_10n_6.3V","10n","Bottom","TDK","C0402X5R0J103K020BC","Digikey","445-5515-1-ND","CAP CER 10000PF 6.3V X5R 01005","0.24"
"C27","1","C01005_47p_16V","47p","Bottom","TDK","C0402C0G1C470J020BC","Digikey","445-7185-1-ND","CAP CER 47PF 16V C0G 01005","0.24"
"FERR1","1","FERR","120","Bottom","TDK","MMZ1608B121C","Digikey","445-2164-1-ND","FERRITE CHIP 120 OHM 600MA 0603","0.10"
"L2","1","L0603_47NH","47NH","Bottom","Panasonic","ELJ-QE47NGFA","Digikey","P14833CT-ND","INDUCTOR 47NH 2% 0603 SMD","0.35"
"L1","1","L0805_2.2uH","2.2uH","Bottom","TDK","MLP2012H2R2MT0S1","Digikey","445-15715-1-ND","INDUCTOR POWER 2.2UH 20% 0805","0.36"
"LED1","1","LED_WHITE_0402","","Top","Panasonic","LNJ047X8ARA","Digikey","LNJ047X8ARACT-ND","LED WHITE 0402 SMD","0.58"
"U8","1","LT3080EDD","","Bottom","Linear Technology","LT3080EDD#TRPBF","Digikey","LT3080EDD#TRPBFCT-ND","IC REG LDO ADJ 1.1A 8DFN","4.36"
"U5","1","LTC3533EDE#TRPBF","","Bottom","Linear Technology","LTC3533EDE#TRPBF","Arrow Electronics","LTC3533EDE#TRPBF","Conv DC-DC Single Non-Inv/Inv/Step Up/Step Down 1.8V to 5.5V 14-Pin DFN","5.69"
"PAD1","1","PAD1","","Bottom","","","","","PAD","0.00"
"PAD2","1","PAD1","","Bottom","","","","","PAD","0.00"
"U7","1","PHOTOTRANSIST_0603","","Top","Everlight","PT19-21C/L41/TR8","Digikey","1080-1384-1-ND","PHOTOTRANSIST FLAT CLR MINI SMD","0.47"
"IN24","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"JP1","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN73","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
