"Name","Component","Side","Centre X","Centre Y","Rotation"
"U4","2N7002BKMB","Top","465","366","90.00"
"OSC1","20.000_MHZ_OSC","Bottom","168","390","0.00"
"U2","AGL400V5_CSG196","Top","267","274","0.00"
"U3","AL5801","Top","547","365","0.00"
"C74","C0201_1u_6.3V","Bottom","590","248","180.00"
"C4","C0402_2.2u_4V","Bottom","276","174","0.00"
"C22","C0402_2.2u_6.3V","Bottom","586","417","0.00"
"C5","C0402_2.2u_10V_TANT","Bottom","66","336","180.00"
"C58","C0402_2.2u_10V_TANT","Bottom","249","19","270.00"
"C9","C0402_4u7_6.3V","Bottom","25","158","0.00"
"C29","C0402_10u_6.3V","Bottom","318","248","0.00"
"C10","C0402_10u_6.3V_TANT","Bottom","95","15","270.00"
"C21","C0402_10u_6.3V_TANT","Bottom","527","416","180.00"
"C57","C0402_10u_6.3V_TANT","Bottom","402","51","90.00"
"C3","C0603_4u7_TANT","Bottom","62","181","180.00"
"C28","C0603_47u_TANT","Bottom","351","173","180.00"
"C24","C01005_0.1u_6.3V","Bottom","583","486","270.00"
"C36","C01005_0.1u_6.3V","Bottom","173","279","180.00"
"C40","C01005_0.1u_6.3V","Top","73","149","270.00"
"C43","C01005_0.1u_6.3V","Bottom","145","331","0.00"
"C47","C01005_0.1u_6.3V","Bottom","302","394","90.00"
"C49","C01005_0.1u_6.3V","Bottom","167","21","90.00"
"C54","C01005_0.1u_6.3V","Bottom","29","483","90.00"
"C55","C01005_0.1u_6.3V","Bottom","239","436","90.00"
"C59","C01005_0.1u_6.3V","Bottom","338","35","180.00"
"C25","C01005_1n_10V","Bottom","439","296","0.00"
"C56","C01005_1n_10V","Bottom","239","411","90.00"
"C23","C01005_2.2n_6.3V","Bottom","327","457","180.00"
"C26","C01005_6.8p_16V","Bottom","533","345","0.00"
"C37","C01005_10n_6.3V","Bottom","200","279","180.00"
"C41","C01005_10n_6.3V","Top","72","174","270.00"
"C42","C01005_10n_6.3V","Bottom","173","331","0.00"
"C46","C01005_10n_6.3V","Bottom","246","358","270.00"
"C48","C01005_10n_6.3V","Bottom","166","43","90.00"
"C27","C01005_47p_16V","Bottom","365","302","270.00"
"FERR1","FERR","Bottom","30","275","0.00"
"L2","L0603_47NH","Bottom","30","405","0.00"
"L1","L0805_2.2uH","Bottom","535","204","0.00"
"LED1","LED_WHITE_0402","Top","557","256","270.00"
"U8","LT3080EDD","Bottom","188","182","0.00"
"U5","LTC3533EDE#TRPBF","Bottom","432","407","90.00"
"PAD1","PAD1","Bottom","594","309","90.00"
"PAD2","PAD1","Bottom","594","327","90.00"
"U7","PHOTOTRANSIST_0603","Top","58","274","180.00"
"IN12","Pin_header_16mil","Top","470","300","0.00"
"IN23","Pin_header_16mil","Top","210","75","0.00"
"IN24","Pin_header_16mil","Top","165","75","0.00"
"IN73","Pin_header_16mil","Top","250","475","0.00"
"IN83","Pin_header_16mil","Top","345","75","0.00"
"IN84","Pin_header_16mil","Top","390","75","0.00"
"IN85","Pin_header_16mil","Top","205","475","0.00"
"IN86","Pin_header_16mil","Top","160","475","0.00"
"IN87","Pin_header_16mil","Top","115","475","0.00"
"IN88","Pin_header_16mil","Top","70","475","0.00"
"IN89","Pin_header_16mil","Top","70","430","0.00"
"IN90","Pin_header_16mil","Top","470","255","0.00"
"IN91","Pin_header_16mil","Top","470","210","0.00"
"IN92","Pin_header_16mil","Top","470","165","0.00"
"IN93","Pin_header_16mil","Top","470","120","0.00"
"IN94","Pin_header_16mil","Top","470","75","0.00"
"JP1","Pin_header_16mil","Top","120","75","0.00"
"OUT2","Pin_header_16mil","Top","295","475","0.00"
"OUT5","Pin_header_16mil","Top","300","75","0.00"
"OUT6","Pin_header_16mil","Top","255","75","0.00"
"R32","R0201_3k_1/20","Bottom","58","84","180.00"
"R29","R0201_147k_1/20","Bottom","92","84","180.00"
"R31","R0201_215k_1/20","Bottom","576","349","90.00"
"R30","R0201_365k_1/20","Bottom","371","263","270.00"
"R14","R0603_5.6_1/4","Top","423","476","270.00"
"R3","R01005_0_1/32W","Top","549","123","0.00"
"R4","R01005_0_1/32W","Bottom","443","81","0.00"
"R1","R01005_1k_1/32W","Top","510","117","270.00"
"R2","R01005_1k_1/32W","Top","507","86","270.00"
"R5","R01005_1k_1/32W","Top","506","53","270.00"
"R33","R01005_1k_1/32W","Bottom","84","261","90.00"
"R11","R01005_1M_1/32W","Bottom","340","405","180.00"
"R7","R01005_1.5k_1/32W","Bottom","556","310","180.00"
"R8","R01005_5k_1/32W","Top","47","370","90.00"
"R13","R01005_8.2k_1/32W","Bottom","438","247","0.00"
"R10","R01005_10k_1/32W","Top","587","460","0.00"
"R43","R01005_10k_1/32W","Bottom","312","35","0.00"
"R12","R01005_33k_1/32W","Bottom","531","487","90.00"
"R6","R01005_220_1/32W","Top","510","275","90.00"
"IN9","ROUND_PAD","Top","590","198","0.00"
"IN10","ROUND_PAD","Top","590","152","0.00"
"JP2","ROUND_PAD","Top","25","25","0.00"
"JP3","ROUND_PAD","Top","25","75","0.00"
"IN14","ROUND_PAD_18","Top","465","25","0.00"
"IN15","ROUND_PAD_18","Top","585","70","0.00"
"IN16","ROUND_PAD_18","Top","545","70","0.00"
"IN17","ROUND_PAD_18","Top","585","115","0.00"
"IN18","ROUND_PAD_18","Top","505","25","0.00"
"JP4","ROUND_PAD_18","Top","545","25","0.00"
"JP5","ROUND_PAD_18","Top","585","25","0.00"
"U1","SDCARD","Top","261","157","0.00"
